GameID,Groups,MatchDate,SID,TeamID1,TeamID2,Team1_Score,Team2_Score
G1,A,14-06-2018,S1,A1,A2,5,0
G2,A,15-06-2018,S4,A3,A4,0,1
G3,B,15-06-2018,S2,B3,B4,0,1
G4,B,15-06-2018,S3,B1,B2,3,3
G5,C,16-06-2018,S5,C1,C2,2,1
G6,D,16-06-2018,S11,D1,D2,1,1
G7,C,16-06-2018,S9,C3,C4,0,1
G8,D,16-06-2018,S12,D3,D4,2,0
G9,E,17-06-2018,S8,E3,E4,0,1
G10,F,17-06-2018,S1,F1,F2,0,1
G11,E,17-06-2018,S7,E1,E2,1,1
G12,F,18-06-2018,S6,F3,F4,1,0
G13,G,18-06-2018,S3,G1,G2,3,0
G14,G,18-06-2018,S10,G3,G4,1,2
G15,H,19-06-2018,S9,H3,H4,1,2
G16,H,19-06-2018,S11,H1,H2,1,2
G17,A,19-06-2018,S2,A1,A3,3,1
G18,B,20-06-2018,S1,B1,B3,1,0
G19,A,20-06-2018,S7,A4,A2,1,0
G20,B,20-06-2018,S5,B4,B2,0,1
G21,C,21-06-2018,S8,C4,C2,1,1
G22,C,21-06-2018,S4,C1,C3,1,0
G23,D,21-06-2018,S6,D1,D3,0,3
G24,E,22-06-2018,S2,E1,E3,2,0
G25,D,22-06-2018,S10,D4,D2,2,0
G26,E,22-06-2018,S12,E4,E2,1,2
G27,G,23-06-2018,S11,G1,G3,5,2
G28,F,23-06-2018,S7,F4,F2,1,2
G29,F,23-06-2018,S3,F1,F3,2,1
G30,G,24-06-2018,S6,G4,G2,6,1
G31,H,24-06-2018,S4,H4,H2,2,2
G32,H,24-06-2018,S5,H1,H3,0,3
G33,A,25-06-2018,S8,A4,A1,3,0
G34,A,25-06-2018,S10,A2,A3,2,1
G35,B,25-06-2018,S12,B2,B3,2,2
G36,B,25-06-2018,S9,B4,B1,1,1
G37,C,26-06-2018,S3,C2,C3,0,2
G38,C,26-06-2018,S1,C4,C1,1,2
G39,D,26-06-2018,S2,D4,D1,1,2
G40,D,26-06-2018,S7,D2,D3,1,2
G41,F,27-06-2018,S5,F4,F1,2,0
G42,F,27-06-2018,S4,F2,F3,0,3
G43,E,27-06-2018,S11,E4,E1,0,2
G44,E,27-06-2018,S6,E2,E3,2,2
G45,H,28-06-2018,S10,H4,H1,1,1
G46,H,28-06-2018,S8,H2,H3,1,0
G47,G,28-06-2018,S9,G2,G3,0,3
G48,G,28-06-2018,S12,G4,G1,2,0
G50,X,30-06-2018,S5,C1,D1,4,3
G49,X,30-06-2018,S3,A4,B1,2,1
G51,X,01-07-2018,S1,B2,A1,1,1
G52,X,01-07-2018,S6,D3,C4,1,1
G53,X,02-07-2018,S8,E1,F2,2,0
G54,X,02-07-2018,S7,G1,H4,3,2
G55,X,03-07-2018,S2,F3,E2,1,0
G56,X,03-07-2018,S11,H3,G4,1,1
G57,Q,06-07-2018,S6,A4,C1,0,2
G58,Q,06-07-2018,S5,E1,G1,1,2
G59,Q,07-07-2018,S3,A1,D3,2,2
G60,Q,07-07-2018,S8,F3,G4,0,2
G61,S,10-07-2018,S2,C1,G1,1,0
G62,S,11-07-2018,S1,D3,G4,2,1
G63,P,14-07-2018,S2,G1,G4,2,0
G64,L,15-07-2018,S1,C1,D3,4,2
